Age	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5
population_mean_height_cm	136.000	138.000	141.000	143.000	145.000	148.000	151.000	155.000	159.000	162.000	166.000	169.000	171.000	173.000	175.000	176.000	177.000
population_sd_height_cm	5.471	5.598	5.725	6.100	6.211	6.657	6.784	7.269	7.468	7.770	7.523	7.396	7.269	6.966	6.839	6.657	6.354
population_mean_jump_height_cm	54.678	55.046	56.393	57.287	58.073	59.159	60.259	61.760	63.559	64.738	66.319	67.486	68.244	68.677	69.000	70.000	70.400
population_sd_jump_height_cm	3.200	3.170	3.203	3.264	3.220	3.122	3.191	3.092	3.205	3.108	3.315	3.140	3.191	3.296	3.362	3.198	3.200
population_mean_yoyo_m	1637.671	1657.049	1692.004	1725.752	1737.086	1773.546	1814.678	1860.494	1911.984	1950.720	1995.088	2025.012	2050.689	2087.214	2105.043	2113.640	2142.133
population_sd_yoyo_m	87.080	92.274	96.203	94.564	97.957	98.763	95.686	92.318	96.142	95.289	96.136	97.202	89.595	95.043	89.126	92.798	99.018
population_mean_sprint_inv_s	0.274	0.275	0.282	0.285	0.289	0.295	0.303	0.310	0.319	0.324	0.331	0.337	0.342	0.348	0.351	0.353	0.358
population_sd_sprint_inv_s	0.017	0.017	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.017	0.015	0.015	0.016	0.018	0.017	0.014
population_mean_agility	20.000	19.765	19.529	19.294	19.059	18.824	18.588	18.353	18.118	17.882	17.647	17.412	17.176	16.941	16.706	16.471	16.235
population_sd_agility	2.000	1.971	1.941	1.912	1.882	1.853	1.824	1.794	1.765	1.735	1.706	1.676	1.647	1.618	1.588	1.559	1.529
population_mean_strengh_percent_bodyweight	75.000	76.471	77.941	79.412	80.882	82.353	83.824	85.294	86.765	88.235	89.706	91.176	92.647	94.118	95.588	97.059	98.529
population_sd_strengh_percent_bodyweight	15.000	15.294	15.588	15.882	16.176	16.471	16.765	17.059	17.353	17.647	17.941	18.235	18.529	18.824	19.118	19.412	19.706
population_mean_ball_control	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_ball_control	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_finishing	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_finishing	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_aerial	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_aerial	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_tackling	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_tackling	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_passing	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_passing	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_creativity	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_creativity	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_motivation	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_motivation	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_composure	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_composure	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_game_intelligence	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_game_intelligence	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_confidence	2.500	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_confidence	1.000	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
